City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Bagan,RU,54.1001,77.6646,24.89,90,100,13.27,overcast clouds
79,San Cristobal,VE,7.7669,-72.225,77.11,56,43,2.24,scattered clouds
80,Saskylakh,RU,71.9167,114.0833,-17.46,97,97,6.85,overcast clouds
81,Albany,US,42.6001,-73.9662,57.78,87,100,1.99,light rain
82,Port Blair,IN,11.6667,92.75,77.4,69,72,12.35,broken clouds
83,Arraial Do Cabo,BR,-22.9661,-42.0278,74.39,85,80,3.04,broken clouds
84,Nalut,LY,30.3333,10.85,44.01,47,0,16.13,clear sky
85,Kapaa,US,22.0752,-159.319,71.92,80,90,1.01,mist
86,Souillac,MU,-20.5167,57.5167,78.37,78,20,8.05,few clouds
87,Dolinsk,RU,47.35,142.8,33.66,58,0,14.12,clear sky
88,Carnarvon,AU,-24.8667,113.6333,73.47,83,90,13.8,overcast clouds
89,Paamiut,GL,61.994,-49.6678,22.3,67,100,14.09,light snow
90,Brazzaville,CG,-4.2658,15.2832,75.45,91,100,1.25,overcast clouds
91,Yellowknife,CA,62.456,-114.3525,-16.58,83,75,4.61,broken clouds
92,Martan-Chu,RU,43.0637,45.5622,37.29,69,19,2.46,few clouds
93,Belaya Gora,RU,68.5333,146.4167,-23.46,99,100,0.76,overcast clouds
94,Dolores Hidalgo,MX,21.1561,-100.9308,75.87,27,73,3.2,broken clouds
95,Flin Flon,CA,54.7682,-101.865,-11.36,70,75,6.91,broken clouds
96,Hermanus,ZA,-34.4187,19.2345,58.89,76,5,1.74,clear sky
97,Hovd,MN,48.0056,91.6419,15.94,62,42,1.54,scattered clouds
98,Kenai,US,60.5544,-151.2583,34.03,96,90,9.22,light snow
99,Pozo Colorado,PY,-23.4923,-58.7972,91.38,33,58,11.21,broken clouds
100,Bandarbeyla,SO,9.4942,50.8122,75.83,64,9,15.64,clear sky
101,Zyryanovsk,KZ,49.7386,84.2719,17.17,91,100,1.7,overcast clouds
102,Narsaq,GL,60.9167,-46.05,21.42,66,75,19.35,broken clouds
103,Sangar,RU,63.9242,127.4739,-24.75,94,100,4.88,overcast clouds
104,Poum,NC,-20.2333,164.0167,81.63,70,5,7.45,clear sky
105,Alice Springs,AU,-23.7,133.8833,71.15,83,51,4.61,broken clouds
106,Bengkulu,ID,-3.8004,102.2655,74.97,90,100,4.23,moderate rain
107,Kaitangata,NZ,-46.2817,169.8464,53.24,79,92,10.45,overcast clouds
108,Tselinnoye,RU,53.0833,85.6667,28.22,85,100,9.01,overcast clouds
109,Saint George,US,37.1041,-113.5841,64.35,25,1,1.01,clear sky
110,Busselton,AU,-33.65,115.3333,58.05,67,0,17.25,clear sky
111,Puerto Carreno,CO,6.189,-67.4859,88.61,48,30,10.76,scattered clouds
112,Amahai,ID,-3.3333,128.9167,78.58,85,100,2.37,overcast clouds
113,Santiago Del Estero,AR,-27.7951,-64.2615,88.0,36,70,5.57,broken clouds
