City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
82,Port Blair,IN,77.4,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
83,Arraial Do Cabo,BR,74.39,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
85,Kapaa,US,71.92,mist,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
86,Souillac,MU,78.37,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
87,Dolinsk,RU,33.66,clear sky,47.35,142.8,"Gostinitsa ""Yubileynaya"""
88,Carnarvon,AU,73.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
89,Paamiut,GL,22.3,light snow,61.994,-49.6678,Pistut
90,Brazzaville,CG,75.45,overcast clouds,-4.2658,15.2832,Hotel Muesse
94,Dolores Hidalgo,MX,75.87,broken clouds,21.1561,-100.9308,Hotel Hidalgo
96,Hermanus,ZA,58.89,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
97,Hovd,MN,15.94,scattered clouds,48.0056,91.6419,Hotel Khovd
98,Kenai,US,34.03,light snow,60.5544,-151.2583,Aspen Extended Stay Suites
99,Pozo Colorado,PY,91.38,broken clouds,-23.4923,-58.7972,Hospedaje la Amistad
100,Bandarbeyla,SO,75.83,clear sky,9.4942,50.8122,JABIR HOTEL
101,Zyryanovsk,KZ,17.17,overcast clouds,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
102,Narsaq,GL,21.42,broken clouds,60.9167,-46.05,Sleep In Narsaq
104,Poum,NC,81.63,clear sky,-20.2333,164.0167,Gîte kajeon
105,Alice Springs,AU,71.15,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
106,Bengkulu,ID,74.97,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
107,Kaitangata,NZ,53.24,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
108,Tselinnoye,RU,28.22,overcast clouds,53.0833,85.6667,Zolotaya Podkova
109,Saint George,US,64.35,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
110,Busselton,AU,58.05,clear sky,-33.65,115.3333,Observatory Guest House
111,Puerto Carreno,CO,88.61,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
112,Amahai,ID,78.58,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
113,Santiago Del Estero,AR,88.0,broken clouds,-27.7951,-64.2615,Apartamentos Castelli 90
114,Geraldton,AU,75.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
115,Hamilton,US,38.23,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
116,Evans,US,70.81,overcast clouds,33.5337,-82.1307,Evans hide out
117,Rodrigues Alves,BR,75.4,overcast clouds,-7.738,-72.6509,Pousada Aconchego
118,Autazes,BR,77.54,light rain,-3.5797,-59.1306,Apart hotel Tupinambá
119,Tezu,IN,64.81,overcast clouds,27.9167,96.1667,Circuit House
120,Nisia Floresta,BR,81.41,few clouds,-6.0911,-35.2086,Rancho Crepusculo
123,Qaanaaq,GL,19.8,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
124,Puerto Rico,AR,83.08,clear sky,-26.796,-55.024,Hotel Cabañas del Prado
126,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
127,Grindavik,IS,36.07,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
128,Severo-Kurilsk,RU,37.15,broken clouds,50.6789,156.125,Kak Doma
130,Krasnyy Klyuch,RU,1.76,broken clouds,55.3863,56.6529,"Gostevoy Dom ""Krasnyy Klyuch"""
131,Sampit,ID,72.39,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
132,Kurtamysh,RU,6.62,few clouds,54.9103,64.4319,Kurtamysh
