City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Vaini,TO,-21.2,-175.2,80.76,83,40,10.36
93,Cabo San Lucas,MX,22.8909,-109.9124,82.51,59,1,5.01
94,Saskylakh,RU,71.9167,114.0833,-17.46,97,97,6.85
95,Hermanus,ZA,-34.4187,19.2345,59.9,76,5,1.74
96,Samarai,PG,-10.6167,150.6667,82.74,74,100,7.61
97,Baturaja,ID,-4.1333,104.1667,72.23,98,93,2.06
98,Lawrenceburg,US,38.0373,-84.8966,39.92,56,1,5.01
99,Vanavara,RU,60.34,102.2797,2.55,100,100,3.06
100,Sakakah,SA,29.9697,40.2064,54.97,38,58,7.47
101,Hithadhoo,MV,-0.6,73.0833,81.7,77,42,17.98
102,Atar,MR,20.5169,-13.0499,68.81,13,99,9.93
103,Albany,US,42.6001,-73.9662,57.78,87,100,13.4
104,Luang Prabang,LA,19.8856,102.1347,54.59,83,1,1.88
105,Meulaboh,ID,4.1363,96.1285,77.63,85,51,3.47
106,Kemin,KG,42.7846,75.6892,37.11,44,96,5.37
107,Tawang,IN,27.5833,91.8667,35.29,74,27,4.74
108,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,75,12.66
109,Alofi,NU,-19.0595,-169.9187,78.69,83,75,12.66
110,Kapaa,US,22.0752,-159.319,71.92,80,90,12.66
111,Tuatapere,NZ,-46.1333,167.6833,61.83,52,1,2.26
112,Nizhniy Lomov,RU,53.5304,43.6766,27.14,78,77,11.03
113,Copperas Cove,US,31.1241,-97.9031,60.04,31,3,18.95
114,Chuy,UY,-33.6971,-53.4616,66.78,77,5,8.79
115,Provideniya,RU,64.3833,-173.3,14.36,73,75,17.9
116,Laela,TZ,-8.5667,32.05,61.57,88,99,1.99
117,Flin Flon,CA,54.7682,-101.865,-9.56,64,40,4.61
118,Komsomolskiy,UZ,40.4272,71.7189,38.12,75,75,4.61
119,Dongsheng,CN,39.8161,109.9776,24.96,37,76,5.57
120,Karratha,AU,-20.7377,116.8463,85.86,41,84,12.33
121,Chokurdakh,RU,70.6333,147.9167,-23.46,97,100,2.17
122,Nioro,GM,13.35,-15.75,80.46,13,43,6.49
123,Grindavik,IS,63.8424,-22.4338,36.07,64,75,23.02
124,Haines Junction,CA,60.7522,-137.5108,15.12,96,100,2.93
125,Chalmette,US,29.9427,-89.9634,79.0,74,90,5.01
126,Tam Ky,VN,15.5667,108.4833,67.98,79,99,6.24
127,Faanui,PF,-16.4833,-151.75,80.58,78,96,15.61
128,Bayonne,FR,43.3333,-1.4167,54.36,82,40,11.5
129,Stephenville,US,32.2207,-98.2023,54.68,27,1,13.8
130,Yinchuan,CN,38.4681,106.2731,31.55,40,100,8.37
131,Mercedes,AR,-34.6515,-59.4307,80.51,45,12,14.16
132,Monster,NL,52.0258,4.175,41.99,45,75,14.97
133,Rio Grande,BR,-32.035,-52.0986,75.31,70,17,14.38
134,Codrington,AU,-38.2667,141.9667,57.09,58,99,14.61
135,Port Huron,US,42.9709,-82.4249,34.39,64,90,8.99
136,Sur,OM,22.5667,59.5289,72.1,64,0,5.5
137,Zhongxing,CN,33.7039,118.6792,39.58,77,55,9.42
138,Nizhniy Kuranakh,RU,58.8353,125.4869,4.5,77,100,11.92
139,Sao Filipe,CV,14.8961,-24.4956,77.74,69,23,6.15
140,Hay River,CA,60.8156,-115.7999,-11.22,64,20,3.44
141,Airai,TL,-8.9266,125.4092,62.2,90,86,2.28
142,Lethem,GY,3.3803,-59.7968,87.85,66,40,13.8
143,Cidreira,BR,-30.1811,-50.2056,68.72,81,22,15.64
144,Bethel,US,41.3712,-73.414,57.49,89,96,5.01
145,Castilho,BR,-20.8722,-51.4875,84.31,42,85,2.21
146,Waingapu,ID,-9.6567,120.2641,78.78,85,100,5.99
147,Baruun-Urt,MN,46.6806,113.2792,19.62,52,14,13.58
148,Georgetown,MY,5.4112,100.3354,78.89,81,20,1.99
149,Sao Francisco De Paula,BR,-29.4481,-50.5836,62.91,87,37,4.68
150,Vagur,FO,61.4732,-6.8119,44.04,67,82,31.38
